"curso_id,nombre_curso,departamento,créditos"
"101,Introducción a la Programación,Ingeniería Informática,4"
"102,Anatomía Humana,Medicina,5"
"103,Derecho Civil,Derecho,3"
"104,Contabilidad Básica,Administración de Empresas,3"
"105,Psicología Social,Psicología,4"
"106,Diseño Arquitectónico,Arquitectura,5"
"107,Biología Celular,Biología,4"
"108,Mecánica de Fluidos,Ingeniería Civil,4"
"109,Marketing Digital,Marketing,3"
"110,Matemáticas Financieras,Contabilidad,4"
"111,Periodismo Investigativo,Periodismo,3"
"112,Física Cuántica,Física,5"
"113,Química Orgánica,Química,4"
"114,Historia del Arte,Historia,3"
"115,Economía Internacional,Economía,4"
"116,Sociología Urbana,Sociología,3"
"117,Termodinámica,Ingeniería Mecánica,4"
"118,Educación Inclusiva,Educación,3"
"119,Filosofía Antigua,Filosofía,3"
"120,Enfermería Clínica,Enfermería,5"
"121,Diseño UX/UI,Diseño Gráfico,4"
"122,Política Global,Relaciones Internacionales,3"
"123,Circuitos Eléctricos,Ingeniería Eléctrica,4"
"124,Nutrición Deportiva,Nutrición,3"
"125,Derecho Laboral,Derecho Internacional,4"
"126,Medicina Preventiva,Medicina Veterinaria,4"
"127,Animación 3D,Arte Digital,4"
"128,Impacto Ambiental,Ingeniería Ambiental,4"
"129,Psicología Infantil,Psicopedagogía,3"
"130,Logística Industrial,Ingeniería Industrial,4"
"131,Comunicación Corporativa,Comunicación Social,3"
"132,Programación Avanzada,Ingeniería en Sistemas,5"
"133,Derecho Constitucional,Derecho Penal,4"
"134,Genética Médica,Medicina,5"
"135,Biomecánica,Ingeniería Biomédica,4"
"136,Políticas Públicas,Administración Pública,3"
"137,Ortodoncia,Odontología,5"
"138,Aerodinámica,Ingeniería Aeroespacial,4"
"139,Inteligencia Artificial,Ingeniería Informática,5"
"140,Ética Profesional,Filosofía,2"
