id_hospital,nombre_hospital,region
1,Hospital Clínico de la Universidad de Chile,Metropolitana de Santiago
2,Hospital Metropolitano de Santiago,Metropolitana de Santiago
3,Hospital Barros Luco,Metropolitana de Santiago
4,Hospital de Urgencia Luis Calvo Mackenna,Metropolitana de Santiago
5,Clínica Alemana,Metropolitana de Santiago
6,Hospital San Borja Arriarán,Metropolitana de Santiago
7,Hospital Padre Hurtado,Metropolitana de Santiago
8,Clínica Las Condes,Metropolitana de Santiago
9,Hospital Clínico de la Universidad Católica,Metropolitana de Santiago
10,Hospital Militar,Metropolitana de Santiago
11,Hospital de Talca,Maule
12,Hospital Regional de Concepción,Biobío
13,Hospital Clínico Regional de Antofagasta,Antofagasta
14,Hospital Barros Luco,Metropolitana de Santiago
15,Clínica Alemana de Valparaíso,Valparaíso
16,Hospital Clínico Regional de Temuco,Araucanía
17,Hospital Clínico de la Universidad de La Serena,Coquimbo
18,Clínica Las Condes de Antofagasta,Antofagasta
19,Hospital Clínico de la Universidad Austral de Chile,Los Lagos
20,Hospital Militar de Punta Arenas,Magallanes
21,Clínica Santa María de Concepción,Biobío
22,Hospital Regional de Arica,Arica y Parinacota
